Route,Score,End,End Exit Volume,Start,End Clean
"['Waterloo LU', 'Westminster', ""St. James's Park"", 'Victoria LU', '[TRANSFER→]Green Park', 'Piccadilly Circus']",594131.8342861696,Piccadilly Circus,43397.76087515598,Waterloo LU,Piccadilly Circus
"['Farringdon', 'Tottenham Court Road', '[TRANSFER→]Leicester Square', '[TRANSFER→]Piccadilly Circus', '[TRANSFER→]Oxford Circus', 'Green Park']",593686.2800744821,Green Park,50979.93327935799,Farringdon,Green Park
"['Victoria LU', 'Green Park', '[TRANSFER→]Oxford Circus', 'Tottenham Court Road', '[TRANSFER→]Oxford Circus', '[TRANSFER→]Bond Street']",593686.2800744821,Tottenham Court Road,101119.98339478439,Victoria LU,Tottenham Court Road
"['Oxford Circus', 'Green Park', '[TRANSFER→]Piccadilly Circus', '[TRANSFER→]Leicester Square', 'Tottenham Court Road', '[TRANSFER→]Farringdon']",593686.2800744821,Tottenham Court Road,101119.98339478439,Oxford Circus,Tottenham Court Road
"['Waterloo LU', '[TRANSFER→]Westminster', 'Green Park', '[TRANSFER→]Oxford Circus', 'Tottenham Court Road', '[TRANSFER→]Oxford Circus']",593686.2800744821,Tottenham Court Road,101119.98339478439,Waterloo LU,Tottenham Court Road
"['Farringdon', 'Tottenham Court Road', '[TRANSFER→]Bond Street', '[TRANSFER→]Green Park', '[TRANSFER→]Victoria LU', 'Green Park']",593686.2800744821,Green Park,50979.93327935799,Farringdon,Green Park
"['Oxford Circus', 'Green Park', '[TRANSFER→]Bond Street', 'Tottenham Court Road', '[TRANSFER→]Bond Street', '[TRANSFER→]Baker Street']",593686.2800744821,Tottenham Court Road,101119.98339478439,Oxford Circus,Tottenham Court Road
"['South Kensington', 'Sloane Square', 'Victoria LU', '[TRANSFER→]Green Park', '[TRANSFER→]Piccadilly Circus', 'Green Park']",592952.3197140136,Green Park,50979.93327935799,South Kensington,Green Park
"['South Kensington', 'Sloane Square', 'Victoria LU', 'Green Park', '[TRANSFER→]Piccadilly Circus', '[TRANSFER→]Leicester Square']",592952.3197140136,Green Park,50979.93327935799,South Kensington,Green Park
"['South Kensington', 'Sloane Square', 'Victoria LU', '[TRANSFER→]Green Park', '[TRANSFER→]Oxford Circus', 'Green Park']",592952.3197140136,Green Park,50979.93327935799,South Kensington,Green Park
"['Piccadilly Circus', 'Leicester Square', '[TRANSFER→]Tottenham Court Road', 'Bond Street', 'Paddington TfL', '[TRANSFER→]Edgware Road (DIS)']",592251.0395763284,Paddington TfL,81178.24734898907,Piccadilly Circus,Paddington TfL
"['Piccadilly Circus', 'Charing Cross LU', '[TRANSFER→]Leicester Square', 'Covent Garden', 'Leicester Square', 'Tottenham Court Road']",591586.4112286011,Tottenham Court Road,101119.98339478439,Piccadilly Circus,Tottenham Court Road
"['Leicester Square', 'Charing Cross LU', '[TRANSFER→]Piccadilly Circus', '[TRANSFER→]Oxford Circus', 'Green Park', 'Victoria LU']",591234.3290612584,Victoria LU,86723.86782461665,Leicester Square,Victoria LU
"['London Bridge LU', '[TRANSFER→]Southwark', 'Waterloo LU', 'Westminster', '[TRANSFER→]Green Park', 'Bond Street']",590500.9673957839,Bond Street,65259.91811015903,London Bridge LU,Bond Street
"['Oxford Circus', '[TRANSFER→]Tottenham Court Road', '[TRANSFER→]Farringdon', 'Tottenham Court Road', '[TRANSFER→]Farringdon', 'Liverpool Street LU']",590329.170852486,Liverpool Street LU,74058.98826547644,Oxford Circus,Liverpool Street LU
"['Liverpool Street LU', '[TRANSFER→]Whitechapel', '[TRANSFER→]Stratford', 'Mile End', 'Stratford', '[TRANSFER→]Liverpool Street NR']",590293.4767977048,Stratford,92594.97009758174,Liverpool Street LU,Stratford
"['Leicester Square', 'Covent Garden', 'Holborn', 'Russell Square', ""King's Cross St. Pancras"", '[TRANSFER→]Farringdon']",589940.6767254071,King's Cross St. Pancras,122827.76544140621,Leicester Square,King's Cross St. Pancras
"['Leicester Square', 'Covent Garden', 'Holborn', 'Russell Square', ""King's Cross St. Pancras"", '[TRANSFER→]Highbury & Islington']",589940.6767254071,King's Cross St. Pancras,122827.76544140621,Leicester Square,King's Cross St. Pancras
