line_id,line_name,mode_name,station_id,station_name,lat,lon,station_modes
circle,Circle,tube,940GZZLUGHK,Goldhawk Road Underground Station,51.502005,-0.226715,['tube']
circle,Circle,tube,940GZZLUGPS,Great Portland Street Underground Station,51.52384,-0.144262,['tube']
circle,Circle,tube,940GZZLUGTR,Gloucester Road Underground Station,51.494316,-0.182658,['tube']
circle,Circle,tube,940GZZLUHSC,Hammersmith (H&C Line) Underground Station,51.49331,-0.2243,['tube']
circle,Circle,tube,940GZZLUHSK,High Street Kensington Underground Station,51.501055,-0.192792,['tube']
circle,Circle,tube,940GZZLUKSX,King's Cross St. Pancras Underground Station,51.530663,-0.123194,['tube']
circle,Circle,tube,940GZZLULAD,Ladbroke Grove Underground Station,51.517449,-0.210391,['tube']
circle,Circle,tube,940GZZLULRD,Latimer Road Underground Station,51.513389,-0.217799,['tube']
circle,Circle,tube,940GZZLULVT,Liverpool Street Underground Station,51.517372,-0.083182,['tube']
circle,Circle,tube,940GZZLUMGT,Moorgate Underground Station,51.518176,-0.088322,['tube']
circle,Circle,tube,940GZZLUMMT,Monument Underground Station,51.5107,-0.085969,['tube']
circle,Circle,tube,940GZZLUMSH,Mansion House Underground Station,51.512117,-0.094009,['tube']
circle,Circle,tube,940GZZLUNHG,Notting Hill Gate Underground Station,51.509128,-0.196104,['tube']
circle,Circle,tube,940GZZLUPAC,Paddington Underground Station,51.516581,-0.175689,['tube']
circle,Circle,tube,940GZZLUPAH,Paddington (H&C Line)-Underground,51.518187,-0.178306,['tube']
circle,Circle,tube,940GZZLURYO,Royal Oak Underground Station,51.519113,-0.188748,['tube']
circle,Circle,tube,940GZZLUSBM,Shepherd's Bush Market Underground Station,51.505579,-0.226375,['tube']
circle,Circle,tube,940GZZLUSJP,St. James's Park Underground Station,51.499544,-0.133608,['tube']
circle,Circle,tube,940GZZLUSKS,South Kensington Underground Station,51.494094,-0.174138,['tube']
circle,Circle,tube,940GZZLUSSQ,Sloane Square Underground Station,51.49227,-0.156377,['tube']
circle,Circle,tube,940GZZLUTMP,Temple Underground Station,51.511006,-0.11426,['tube']
circle,Circle,tube,940GZZLUTWH,Tower Hill Underground Station,51.509971,-0.076546,['tube']
circle,Circle,tube,940GZZLUVIC,Victoria Underground Station,51.496359,-0.143102,['tube']
circle,Circle,tube,940GZZLUWLA,Wood Lane Underground Station,51.509669,-0.22453,['tube']
circle,Circle,tube,940GZZLUWSM,Westminster Underground Station,51.50132,-0.124861,['tube']
circle,Circle,tube,940GZZLUWSP,Westbourne Park Underground Station,51.52111,-0.201065,['tube']
district,District,tube,940GZZLUACT,Acton Town Underground Station,51.503057,-0.280462,['tube']
district,District,tube,940GZZLUADE,Aldgate East Underground Station,51.515037,-0.072384,['tube']
